"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1004112061858",6,6,6,5,4,2,1,1,1,1,1,2,2,3,3,4,5,6,6,6
"1004112095306",3,5,6,6,6,4,2,1,2,1,1,3,5,5,3,3,2,2,2,2
"1004113015478",5,5,4,2,2,1,1,2,3,6,6,6,5,3,3,2,2,2,3,3
"1004113035765",2,2,3,4,5,2,6,4,3,2,2,2,2,3,5,6,5,4,4,3
"1004113042545",3,2,1,1,1,2,4,6,6,5,4,2,1,1,2,2,5,6,6,6
"1004113062197",5,6,6,5,5,5,4,3,1,1,1,1,1,3,3,3,3,5,5,5
"1004113069302",4,2,2,2,1,1,2,1,2,3,3,4,4,5,5,6,6,6,6,6
"1004113071932",3,4,6,4,3,3,3,5,4,3,4,4,5,3,3,2,3,4,5,2
"1004114015634",3,3,4,6,4,4,3,2,2,3,2,3,3,6,3,2,3,3,3,3
"1004115069102",6,6,3,2,2,2,2,2,2,3,6,6,3,2,2,2,2,2,2,3
"1004116059733",1,1,1,1,2,3,3,4,5,6,6,6,6,6,6,5,3,2,2,1
"1004117007504",1,2,1,2,2,3,2,3,4,4,6,5,5,6,5,5,4,4,2,2
"1004117007690",3,3,3,6,6,2,2,2,2,2,2,3,3,6,6,3,3,2,3,4
"1004118007502",4,3,2,1,1,2,2,5,6,6,5,3,1,2,1,2,3,4,6,6
"1004118030625",3,3,3,2,3,2,2,3,6,6,4,3,2,3,2,2,3,3,4,5
"1004119012585",4,1,1,3,5,6,5,2,2,4,3,2,2,2,3,3,5,6,6,5
"1004120011740",6,6,6,5,2,1,2,1,2,3,5,6,6,5,3,2,1,1,2,4
"1004120053199",6,4,3,2,1,1,2,3,5,6,6,4,3,2,1,2,2,3,6,6
"1004121003741",3,2,1,1,1,2,4,6,6,5,3,2,2,1,2,2,4,6,6,4
"1004125045416",4,3,3,2,2,1,1,1,2,2,2,5,5,6,6,6,5,4,4,6
"1007003018247",3,3,4,4,6,5,5,5,5,5,4,3,2,2,2,1,2,2,2,2
"1007004034307",6,6,6,6,6,5,3,2,1,1,1,1,1,2,2,3,4,5,5,6
"1007008024748",2,2,3,3,4,4,4,5,6,6,6,5,6,5,3,2,1,1,1,1
"1007011018386",1,2,3,5,6,6,4,4,3,2,2,3,4,5,6,6,6,4,1,1
"1007014001613",2,1,1,1,1,1,2,2,3,4,5,5,5,6,6,6,6,4,4,3
"1007015009599",2,4,6,6,6,3,2,2,2,2,2,3,5,5,4,2,2,2,2,2
"1007016041988",1,2,5,5,5,4,3,1,1,1,2,4,6,6,6,6,3,2,1,1
